week,region,bing_spend,google_non_brand_spend,google-search-brand_spend,fb-ig_spend,twitter_spend,youtube_spend,tiktok_spend,amg_spend,SB_spend,SD_spend,SPA_spend,SPA_brand_spend,SB_brand_spend,SD_brand_spend,bing_impression,google_non_brand_impression,google-search-brand_impression,fb-ig_impression,twitter_impression,youtube_impression,tiktok_impression,amg_impression,SB_impression,SD_impression,SPA_impression,SPA_brand_impression,SB_brand_impression,SD_brand_impression,total_rev,dtc_rev,amz_rev
2023/1/8,CA,0,0,2130,0,0,0,0,364,29,575,0,0,0,0,0,0,28479,0,0,0,0,58509,13160,177922,0,0,0,0,907924.75,35107.75,872817
2023/1/8,Spark,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2504,0,0,0,0,654461.4,5582.8,648878.6
2023/1/8,ANZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130109.09,8867.62,121241.47
2023/1/8,DBNX,1148,9224,19507,7492,0,0,0,6319,0,2171,0,0,0,526,129178,1443260,270407,1452352,0,0,0,2333013,0,858516,0,0,0,99924,3341307.15,416221.87,2925085.28
2023/1/8,US_Eufy,355,239,36813,16188,0,9105,0,22179,2736,2554,0,0,0,0,68708,12733,1548907,2558936,0,2554269,0,2798693,292275,485249,0,0,0,0,3935011.91,553656.7,3381355.21
2023/1/8,MEA,0,0,0,0,0,0,0,0,0,1329,0,0,0,0,0,0,0,0,0,0,0,0,0,130113,0,0,0,0,207246.19,0,0
2023/1/8,GLOBAL_PPS-EU,412,10988,3248,3611,0,5712,0,6700,0,1154,0,0,0,125,54918,1661713,58731,1119161,0,810273,0,5146384,0,171056,0,0,0,15570,368413.01,126972.63,241440.38
2023/1/8,Other,0,5094,153,3271,0,0,140,0,224,528,0,0,0,0,0,758049,5727,1046006,0,0,45258,0,9712,279773,0,0,0,0,510805.41,39465.81,471339.6
2023/1/15,US_Soundcore,0,2788,3598,47868,0,0,0,45280,475,6710,0,0,0,292,0,610769,30258,3742039,0,0,0,3530771,49732,1399687,0,0,0,38534,2692124.63,76576.64,2615547.99
2023/1/15,CA,0,0,2054,0,0,0,0,358,89,456,0,0,0,0,0,0,26210,0,0,0,0,52562,20241,298708,0,0,0,0,1038156.5,53454.06,984702.44
2023/1/15,GLOBAL_PPS-Other,0,851,0,0,0,0,0,0,0,2141,0,0,0,0,0,18902,0,0,0,0,0,0,0,404293,0,0,0,0,0,0,0
2023/1/15,DBNX,843,6417,18794,13312,0,0,0,11790,0,2195,0,0,0,461,85337,923658,287875,2539657,0,0,0,4544962,0,892672,0,0,0,91231,3072737.51,431155.85,2641581.66
2023/1/15,US_Eufy,0,825,36459,29179,0,7766,0,52919,2366,2670,0,0,0,0,0,19893,981338,3532543,0,1467988,0,8264226,254807,460912,0,0,0,0,3685366.72,484434.29,3200932.43
2023/1/15,US_Anker,1183,3466,7119,11799,400,0,0,61040,700,3543,0,0,0,0,109371,852623,83486,1113886,175522,0,0,9718221,90097,815697,0,0,0,0,6890131.72,255337.4,6634794.32
2023/1/15,ANZ,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0,0,0,0,0,0,0,0,0,0,0,115104.07,10136.88,104967.19
2023/1/15,GLOBAL_PPS-US,0,15006,3284,24226,0,17470,0,6442,0,486,0,0,0,0,332,1204939,174209,5180880,0,2082079,0,1076454,0,16977,0,0,0,0,346314.58,104661.54,241653.04
2023/1/15,UK_IE,1080,5612,11075,6517,0,0,0,13153,0,380,0,0,0,0,92083,983617,101949,1006093,0,0,0,3561161,0,85908,0,0,0,0,2274862.19,290763.24,1984098.95
2023/1/15,Other,0,4127,1101,4378,0,0,140,1268,147,1064,0,0,0,0,0,1273997,9351,1190183,0,0,40511,408540,8219,630338,0,0,0,0,452368.81,39581.45,412787.36
