week,bing_spend,display_spend,search_spend,dv360_spend,pmax_spend,apple_news_spend,demandgen_spend,fb-ig_spend,twitter_spend,youtube_spend,tiktok_spend,dsp_spend,SB_spend,SD_spend,SPA_spend,fincast_spend,bing_impression,display_impression,search_impression,dv360_impression,pmax_impression,apple_news_impression,demandgen_impression,fb-ig_impression,twitter_impression,youtube_impression,tiktok_impression,dsp_impression,SB_impression,SD_impression,SPA_impression,fincast_impression,promotion,google_search_index,amz_search_without_keywords,amazon_rev,dtc_rev,total_rev,gsc,SPA品类词_spend,SPA竞品词_spend,SPA品牌词_spend,SB品类词_spend,SB竞品词_spend,SB品牌词_spend,SB品类词_impression,SB竞品词_impression,SB品牌词_impression,SPA品类词,SPA竞品词,SPA品牌词
2023-05-28,507.12,0,9805.23,0,4199.11,0,0,10260.41,1086.32,0,2397.74,33360.57,6493.13,2669.97,95783.14,0,24641,0,76438,0,730167,0,0,1648168,431671,0,357906,2885716,292010,981804,13533819,0,0,32,609976,3553458.47,105171.15,3658629.62,115442,40596.53,24495.34,30691.27,2480.61,474.28,3340,113330,29806,138617,113330,29806,138617
2023-06-04,1797.72,0,18102.62,0,12036.37,0,0,39169.4,7600.68,0,5950.96,70911.69,13158.81,5039.28,177281.37,0,358931,0,140258,0,2051505,0,0,5549410,4424528,0,719506,6699329,645044,1291298,25123316,0,0,31,621514,6866815.43,242986.53,7109801.96,209094,72500.94,44994.51,59785.92,5555.51,1118.36,6129.3,287425,59358,283915,287425,59358,283915
2023-06-11,1759.09,2.87,21453.57,0,13995.13,0,0,39936.86,4377.81,0,6922.45,79108.34,14029.48,5398.71,189740.78,0,46037,3627,160646,0,2277693,0,0,5213702,2283707,0,1294339,7110245,727961,1250048,25898059,0,0,35,637128,7217622.062,251588.37,7469210.432,232896,81502.87,43678.28,64558.75,6756.53,876.62,6031.55,337586,67158,310336,337586,67158,310336
2023-06-18,1676.37,0,22354.53,0,13506.47,0,0,40028.61,316.7,0,4174.47,90937.65,14387.54,5191.32,194105.58,0,106661,0,162252,0,1850570,0,0,4716315,140255,0,775634,7584822,776759,1280705,28034529,0,0,34,663059,7067642.611,218712.6,7286355.211,218038,82056.47,43154.93,68847.6,7416.48,940.8,5646.5,380364,66565,317260,380364,66565,317260
2023-06-25,2088.43,0,15522.24,0,15010.36,0,0,37278.22,0,0,2744.43,84982.67,14737.01,5341.02,195796.8,0,43791,0,126952,0,2279489,0,0,4288551,0,0,553708,6779738,738340,1580215,26976886,0,0,35,664103,6561485.15,207113.7,6768598.85,214700,82257.93,43588.83,69885.17,7722.39,1011.63,5603.16,359500,69939,296710,359500,69939,296710
2023-07-2,2360,0,7115.87,0,15521.28,0,0,21208.47,0,0,0,59641.77,16665.3,3924.58,223887.64,0,177564,0,76270,0,2606479,0,0,2884108,0,0,0,5963698,810432,531479,27762123,0,0,34,698502,6057477.53,245068.79,6302546.32,210217,95301.55,49639.18,78946.91,7878.25,1210.95,7156.73,365448,88957,339454,365448,88957,339454
2023-07-9,2615.32,0,8938.87,0,15655.39,0,0,28650.49,0,0,0,161431.08,27368.62,6093.9,229701.27,0,203732,0,90311,0,2485829,0,0,3316650,0,0,0,16069036,1619827,784227,24341750,0,1,48,1820996,17296925.63,294190.86,17591116.49,282089,91436.37,39967.48,98297.42,13854.37,2254.39,9798.53,636316,254504,641318,636316,254504,641318
2023-07-16,2320.33,1660.5,7205.94,0,10293.41,0,0,24876.39,0,0,0,77505.64,23874.48,7620.75,214544.5,0,144490,323821,84115,0,1839799,0,0,2952764,0,0,0,7552536,1158577,1554839,23756714,0,0,36,689707,6337962.06,201269.12,6539231.18,229436,98706.64,51672.89,64164.97,15880.16,796.29,6966.34,678804,58597,396926,678804,58597,396926
2023-07-23,2174.5,4023.03,4877.2,0,7736.05,0,0,19372.39,0,0,0,61065.63,20701.81,9162.41,236911.74,0,211770,864958,64352,0,1581317,0,0,4329041,0,0,0,6005455,924943,1949943,25333939,0,0,35,636914,6683969.68,190979.42,6874949.1,210623,100003.55,64212.79,72695.4,13273.8,78.65,6715.63,500044,5647,407847,500044,5647,407847
2023-07-30,2097.01,15232.7,13453.07,0,11173.69,0,0,112212.17,29472,0,0,144335.67,28168.38,11462.78,324234,0,398325,4539939,157203,0,2032850,0,0,31603904,17405499,0,0,10527806,1028719,2767433,31164687,0,0,36,730710,7806663.19,348531.72,8155194.91,239400,148801.78,85440.16,89992.06,18996.02,0,8245.75,577649,0,425534,577649,0,425534
2023-08-06,2081.95,3908.33,13264.3,0,8857.94,0,0,124439.43,30143.38,0,0,211082.56,45830.57,15190.78,417202.57,0,366607,744701,164641,0,1810935,0,0,31712696,18951536,0,0,12221228,1452337,3720548,34951916,0,0,36,747661,7942818.62,267297.69,8210116.31,224503,198798.03,120018.94,98385.6,36269.4,0,8210.78,993936,0,427408,993936,0,427408
2023-08-13,1818.86,2262.75,11095.79,0,8213.77,0,0,124986.41,29259.27,0,0,232760.65,53353.91,14110.37,414344.56,0,91987,441660,132763,0,1617150,0,0,28209754,15746873,0,0,13208074,1588435,3720322,34939927,0,0,36,772781,7825153.26,286214.51,8111367.77,230766,187718.22,125450.47,101175.87,42786.49,0,9209.26,1176923,0,376561,1176923,0,376561
2023-08-20,1975.71,0,15342.31,0,15972.47,0,0,130219.23,41802.88,0,0,201089.87,56010.68,15974.36,464571.46,0,232437,0,138509,0,2676688,0,0,21749510,25141152,0,0,12699444,1568088,4044705,41592664,0,0,36,735291,7568380.31,311955.84,7880336.15,222456,222145.33,143535.02,98891.11,45311.41,0,8900.38,1113319,0,415537,1113319,0,415537
