geo,population,week,spa_spend,sb_spend,sd_spend,bing_spend,youtube_spend,pmax_spend,shopping_spend,search_spend,sa_spend,display_spend,demandgen_spend,fb-ig_spend,twitter_spend,tiktok_spend,dsp_spend,promotion,amz_rev,dtc_rev,total_rev,spa_impressions,sb_impressions,sd_impressions,bing_impressions,youtube_impressions,pmax_impressions,shopping_impressions,search_impressions,sa_impressions,display_impressions,demandgen_impressions,fb-ig_impressions,twitter_impressions,tiktok_impressions,dsp_impressions,google_search_index
de,84207449,2023/6/11,3773.62,1084.4,0,261.76,1866.23,25200.16,0,47338.59,0,0,0,64089.52,0,5946.26,1.09,0,49190.0754,1221636.47,1270826.546,318061,210507,0,1381,765486,1734231,0,917209,0,0,0,8186847,0,1296676,188,8
de,84207449,2023/6/18,3724.47,1392.21,0,239.29,4860.9,37642.63,0,65943.88,0,0,0,65031.85,0,940.1,774.65,0,85629.1132,1056805.989,1142435.102,292052,198179,0,1390,1339678,1122599,0,2678107,0,0,0,8156131,0,195813,194103,9
de,84207449,2023/6/25,4678.29,2489.55,0,428.43,2031.52,58121.62,0,88839.21,0,0,0,107123.26,0,0,5598.88,0,103581.7344,1209915.2,1313496.934,448067,318703,0,1760,117046,2765363,0,585752,0,0,0,12055401,0,0,1725025,8
de,84207449,2023/7/2,5055.89,2575.75,0,346.09,0,57808.98,0,69599.53,0,0,0,58057.05,0,0,8358.71,1,92798.203,1333119.42,1425917.623,361899,322082,0,2055,0,3446164,0,492518,0,0,0,7126449,0,0,2668794,9
de,84207449,2023/7/9,14062.99,8007.96,1263.41,241.23,0,57612.06,0,64531.84,0,0,0,52634.11,0,0,19783.04,1,534243.5344,1279290.211,1813533.746,841081,765122,127220,2523,0,3688200,0,450428,0,0,0,6047893,0,0,3241576,9
de,84207449,2023/7/16,3683.46,1537.92,159,347.39,0,53820.73,0,47885.2,0,0,0,41921.46,0,0,4292.23,1,40203.6264,1124572.799,1164776.425,294242,150417,37350,2091,0,3576252,0,361906,0,0,0,5678692,0,0,1519690,8
de,84207449,2023/7/23,3458.44,1428.77,125.23,204.05,0,33477.76,0,57946.82,0,0,0,23527,0,0,2843.45,0,68610.4375,566546.9017,635157.3392,332795,148041,23210,1972,0,2208163,0,393565,0,0,0,3589876,0,0,1240830,6
de,84207449,2023/7/30,2872.42,1163.11,124.34,139.91,0,38897.53,0,46188.34,0,0,0,29790.08,0,0,3144.44,1,80303.5611,631982.9968,712286.5579,269048,152491,21908,1830,0,5209063,0,251276,0,0,0,4222252,0,0,1572209,5
de,84207449,2023/8/6,3993.16,1302.75,22.81,187.8,0,19333.65,0,40809.39,0,0,0,41556.17,0,0,3359.44,1,52491.9069,350704.6585,403196.5654,400192,180153,3875,1770,0,2209431,0,253930,0,0,0,5430647,0,0,1612367,6
de,84207449,2023/8/13,7127.61,1682.99,0,346.12,0,25293.83,0,40074.52,0,0,0,71717.58,0,0,5181.61,1,140923.0794,567624.2996,708547.379,595154,146956,0,2396,0,2300239,0,340730,0,0,0,9302532,0,0,1815843,7
de,84207449,2023/8/20,5483.1,1720.27,0,323.42,0,44364.75,0,49556.48,0,0,0,91569.18,0,0,6076.4,0,120744.2434,644863.1629,765607.4063,346786,195262,0,3807,0,2949429,0,322045,0,0,0,10113861,0,0,1780454,9
de,84207449,2023/8/27,6549.83,2135.74,0,287.06,0,32821.26,0,35680.09,0,0,0,75070.37,0,0,6371.04,0,124071.6081,659694.7168,783766.3249,550529,265109,0,3919,0,2158182,0,240520,0,0,0,7505189,0,0,1512734,7
