week,spa,sb,sd,google_youtube,bing,google_without_youtube,others,fb-ig,twitter,tiktok,dsp,fincast,promotion,amazon search volume,google search index,amazon search index,sales_revenue,amz_search_without_keywords,amz_rev,dtc_rev,total_rev
2022/9/18,131573.03,26140.17,6726.97,7490.25,2931.68,37694.51,0,88901.94,31693.65,29263.14,94549.18,0,0,1830842,43,26.1882078,14895936.14,1148617,7963153.55,341896.19,8305049.74
2022/9/25,121945.02,18708.43,5796.89,3174.27,2670.27,53231.74,0,101730.13,34898.38,18519.19,99789.29,0,0,1591230,43,22.00182088,13620574.42,843809,7420136.62,361175.64,7781312.26
2022/10/2,108967.78,16733.4,5396.96,0,2246.34,46039.26,0,75990.65,31551.11,14773.74,96659.2,0,0,1258973,39,16.19678458,12220014.57,770774,6698383.7,292325.82,6990709.52
2022/10/9,116633.25,25467.34,7245.96,0,2207.18,41996.11,0,73106.53,29839.27,19084.45,224175.75,0,1,1188009,44,14.95693531,19583229.16,1377621,12260223.45,386589,12646812.45
2022/10/16,98927.28,18886.95,4922.64,0,2340.41,38977.44,0,41017.99,7971.31,17647.83,88349.32,0,0,2033688,39,29.73223666,11413753.52,718911,6166756.69,232658.16,6399414.85
2022/10/23,117029.52,21282.63,6481.49,0,2969.62,42619.28,0,55588.3,13379.3,20653.84,103825.27,0,0,1677947,39,23.51689907,11711585.56,700113,6219156.53,256488.95,6475645.48
2022/10/30,139688.53,20201.1,6347.56,0,2233.68,36725.14,0,61968.91,20536.59,6990.74,109213.5,0,0,1105383,32,13.51333313,12930115.6,688133,6701556.955,245506.76,6947063.715
2022/11/6,145153.43,20942.26,5756.67,0,1974.64,37637.58,0,61545.42,21773.48,0,111354.75,0,0,1120721,42,13.78131137,12667413.99,732979,6521895.93,307145.08,6829041.01
2022/11/13,150954.31,21882.18,6597.41,0,2760.89,36595.81,0,65269.52,27063.86,9185.47,81821.72,0,1,1142218,39,14.15689674,13312012.32,741519,6385250.58,314094.83,6699345.41
2022/11/20,231588.17,35899.77,25062.5,0,4170.81,63705.69,0,164914.95,77807.06,11518.58,305748.26,0,1,1394012,57,18.55612177,30951074.32,1608746,13783365.78,961289.97,14744655.75
2022/11/27,189685.49,35364.97,9607.26,0,5090.93,60588.12,0,156514.86,74335.05,19785.19,207457.77,0,1,2614110,59,39.87309383,22865780.07,1366516,12087275.8,812953.79,12900229.59
2022/12/4,138615.76,28618.85,5873.72,0,3492.52,44518.3,0,62768.67,33516.01,205.15,93494.92,0,0,1953148,42,28.32508008,15961899.19,818340,8783794.045,398643.99,9182438.035
2022/12/11,140053.17,32708.04,6136.23,0,2804.34,36079.11,0,73344.53,40743.44,0,109789.29,0,0,1334697,50,17.51979829,18022628.95,869702,10643568.45,387117.88,11030686.33
2022/12/18,109705.79,27631.85,5359.29,0,2512.02,25440.44,0,69787.87,11120.83,0,110982.36,0,0,1356237,50,17.89613493,13035328.34,777309,7065816.332,297428.67,7363245.002
2022/12/25,116581.63,33071.14,6025.41,0,1791.49,18466.59,0,4866.49,0,0,90601.37,0,0,1188829,56,14.97126196,13315546.1,923954,7759363.885,292253.52,8051617.405
2023/1/1,101041.36,25159.16,6235.61,0,1435.28,14876.13,0,0,0,0,54176.48,0,0,1390052,46,18.48693453,14899187.26,744339,7151942.105,198053.15,7349995.255
2023/1/8,97668.35,21991.66,5775.48,0,1447.91,9468.25,0,2914.86,0,0,57373.25,0,0,1134463,40,14.02140506,12873471.37,730163,7038815.716,193845.67,7232661.386
2023/1/15,94790.81,22129.74,3543.03,0,1200.09,10567.13,0,11799.49,400.08,0,61039.59,0,0,1077816,39,13.03169562,11834637.19,651188,6318167.79,255286.39,6573454.18
2023/1/22,95172.31,21385.66,3411.63,0,1107.88,14181.92,0,16742.94,0,0,59795.63,0,0,987198,39,11.44846101,11924758.46,641905,6328446.595,236080.81,6564527.405
2023/1/29,112045.85,20227.76,2230.09,0,1296.74,52026.67,0,48000.66,10111.37,0,72302.63,0,0,998246,39,11.64148641,14172633.2,651175,6710330.185,346584.14,7056914.325
2023/2/5,114593.17,20329.13,1658.3,978.11,1249.03,25595.29,0,42626.74,2578.2,0,77555.65,0,0,1023523,38,12.08311414,12420795.35,648181,6547730.978,310423.18,6858154.158
2023/2/12,126900.7,20788.77,978.18,13870.81,2284.81,28123.71,0,59410.04,5639.26,0,91309.42,0,0,1000973,40,11.68913126,11878282.17,626241,6243466.82,367554.56,6611021.38
2023/2/19,138028.95,20504.71,1612.04,11042.39,2701.9,35209.25,0,56158.01,5413.01,0,82913.73,0,0,960638,38,10.98441732,12155122.45,663717,6582376.363,385182.77,6967559.133
2023/2/26,126930.63,20647.96,1890.78,11852.27,2606.41,30138.25,0,33245.04,5593.63,0,82483.72,0,0,1146173,39,14.22599662,13326997.75,633946,6511626.234,250491.7,6762117.934
2023/3/5,130672.15,20422.87,1774.67,1992.22,2966.72,29445.2,0,19250.11,2167.13,0,55344.46,0,0,1141829,39,14.15010031,12825855.24,641985,7000660.94,199915.31,7200576.25
2023/3/12,135169.89,20853.36,1790.02,0,3719.44,33717.78,0,21769.45,1417.84,20962.01,74275.18,0,0,1153628,40,14.35624683,12117861.7,623699,6649097.6,247899.11,6896996.71
2023/3/19,137506.93,20336.59,1484.8,0,759.74,32021,0,43896.3,1317.07,12037.99,77681.72,0,0,1106552,39,13.53375734,12860229.49,636563,6638826.617,328300.55,6967127.167
2023/3/26,132746.96,19326.07,1858.93,0,0,36636.23,0,27341.57,1649.23,2206.64,76804.17,0,0,1110698,40,13.60619428,13894480.1,608492,6380699.82,316755.61,6697455.43
2023/4/2,133232.67,17804.06,1523.37,0,0,29385.62,0,5960.22,2396.82,0,65478.29,0,0,1234650,36,15.77182469,11054314.31,583337,5998783.46,203877.54,6202661
