week,spa,sb,sd,google_youtube,bing,google_without_youtube,others,fb-ig,twitter,tiktok,dsp,fincast,promotion,amazon search volume,google search index,amazon search index,sales_revenue,amz_search_without_keywords,amz_rev,dtc_rev,total_rev,spa_impressions,sb_impressions,sd_impressions,bing_impressions,google_youtube_impressions,google_without_youtube_impressions,fb-ig_impressions,twitter_impressions,tiktok_impressions,dsp_impressions,fincast_impressions
2022-07-10,90779.53,24270.01,8110.61,0,4690.99,34863.78,0,23947.21,18251.24,0,125597.02,0,1,949717,49,10.7936108,25875617.85,1734983,12732304.39,227253.17,12959557.56,13040957,1619608,955415,43470,0,7832806,2767606,4340081,0,18286799,0
2022-07-17,61420.29,17178.67,4905.23,0,3986.26,25207.77,0,22185.22,47964.91,0,63046.6,0,0,4118754,40,66.1615183,10846613.23,615746,5979393.08,217523.59,6196916.67,9528755,1292415,669033,29455,0,5953080,2262774,4142695,0,13649143,0
2022-07-24,80876.23,13512.57,3832.03,791.54,3947.27,16297.35,0,94425.4,81751.39,0,77898.11,0,0,946857,45,10.74364224,12232487.27,888652,6246157.95,465752.11,6711910.06,10685563,958357,747780,41632,137617,1344475,13436360,21011479,0,6102247,0
2022-07-31,97317.99,16861.53,3107.75,0,3617.17,25017.51,0,77679.37,44118.55,0,73656.57,0,0,1310165,41,17.09118686,12118516.62,840620,6551190.91,255114.33,6806305.24,14255442,1287969,704429,234137,0,2059090,18379965,9384885,0,6716419,0
2022-08-07,103213.16,21398.92,3906.59,602.84,4452.19,26061.01,0,32473.83,7690.27,0,48576.37,0,0,1723564,41,24.3138976,12439484.94,868320,6798704.49,267736.78,7066441.27,14698122,1655374,702505,326975,215911,2647419,3771210,2659705,0,7502548,0
2022-08-14,109222.59,27472.92,4390.09,0.01,3915.47,28434.2,0,42759.21,12790.56,15800.38,42126.5,0,0,1286884,43,16.6844323,13075590.96,689367,7299372.93,310000.74,7609373.67,16822119,2364827,799828,150692,11,4015168,4317498,3436928,3265507,7217328,0
2022-08-21,113461.42,27618.68,3767.87,0,4479.67,25713.43,0,63346.58,27171.72,12395.28,59233.62,0,0,1068352,41,12.86634511,13493749.25,704812,7404501.16,339775.71,7744276.87,16405522,2513420,793149,177640,0,4372213,5897339,6864961,2065490,9002593,0
2022-08-28,115055.05,26673.32,3208.86,0,4426.44,26336.83,0,58437.4,34552.92,6714.73,65576.98,0,0,1100022,39,13.41966829,13351628.82,660968,7518694.61,332826.87,7851521.48,17690426,2502825,724285,140308,0,2376958,5053683,8859140,670115,7484863,0
2022-09-04,130635.75,30552.88,4760.15,4173.29,4446.71,32173.43,0,62747.69,24646.71,16796.21,54861.06,0,0,1078559,43,13.04467696,13224927.41,738942,7214168.43,326327.63,7540496.06,19276037,2678770,1022012,163400,918831,3673378,9417143,5559974,3912907,8021281,0
2022-09-11,129552.64,31643.43,5828.49,15103.9,3584.65,29413.19,1993.86,88854.43,36168.96,18592.43,75576.14,0,0,1198184,41,15.13470807,14522655.76,788910,8205738.38,315170.79,8520909.17,20908233,2740376,1360974,134035,3168986,3639852,15303584,6952035,3905046,13875433,0
