,week,spa_spend,sb_spend,sd_spend,google_youtube_spend,bing_spend,google_without_youtube_spend,fb-ig_spend,twitter_spend,tiktok_spend,dsp_spend,fincast_spend,spa_impressions,sb_impressions,sd_impressions,bing_impressions,google_youtube_impressions,google_without_youtube_impressions,fb-ig_impressions,twitter_impressions,tiktok_impressions,dsp_impressions,fincast_impressions,amazon_search_volume,google_search_index,promotion,amz_rev,dtc_rev,total_rev
20,2022-06-19,375167.98,125519.92,33926.38,7975.71,36723.09,155101.86,149237.16,44570.12,48321.94,309869.07,0,87080406,13899977,7080267,431996,4100378,12066803,14097846,6967513,7291155,58243039,0,1435675,29,0,23355553.7,1461804.03,24817357.73
21,2022-06-26,384625.89,140074.38,35787.18,7966.46,51031.78,164750.33,258729.33,43299.89,13154.1,310513.09,0,89771527,14413075,7855583,525303,6203509,13980749,21971167,7381905,3407202,61625186,0,1504638,28,0,23251282.63,1467287.837,24718570.46
22,2022-07-03,364741.77,149707.57,37387.94,8362.18,27875.79,165382.83,82230.46,33082.77,6206.55,239843.38,0,90096208,14826810,7548750,385202,3561789,13769693,8262525,6281546,3984229,42924352,0,1553073,29,0,22606246.46,1743084.112,24349330.57
23,2022-07-10,658708.57,289566.21,73025.55,16028.94,12620.25,287886.19,354550.77,20830.84,15206.92,458776.52,0,144861439,25358593,12541088,679344,1113863,23568838,23985951,4889540,8665379,70385946,0,6849076,37,1,80213335.94,2458319.585,82671655.52
24,2022-07-17,282396.13,133010.76,29390.34,13868.59,14791.34,171465.63,61897.21,49306.8,668.19,115869.51,0,75366376,15270315,6957232,492663,1417225,15664332,6288149,4535716,216498,25153251,0,1518052,28,0,21642905.65,1387642.822,23030548.47
25,2022-07-24,310817.68,119238.52,28236.19,10730.16,1344.75,117573.74,130118.46,88634.88,1427.05,127721.83,0,82116011,14402171,6728224,362141,244205,7275521,17276626,21878025,411501,15007068,0,1891200,31,0,23547483.16,1782382.019,25329865.18
26,2022-07-31,344955.16,132141,26453.58,9429.79,12125.37,163774.69,164845.49,60012.63,480.98,162254.96,0,88947629,15050052,6016526,445821,1217750,7768505,28099009,14689579,162504,22947765,0,2459343,29,0,24285149.3,1566509.88,25851659.18
27,2022-08-07,349736.51,130240.83,25991.37,9649.77,12285.33,163131.9,121164.68,26196.16,489.44,175982.97,0,89793878,15044231,5851393,489196,1171964,10169207,12345050,10021655,153732,33121963,0,1860842,29,0,24296569.8,1627351.814,25923921.61
28,2022-08-14,360774.27,139759.3,29412.49,9690.07,85578.65,168607.55,88331.27,13945.2,16840.74,171385.39,0,92830696,16374618,6384665,306334,8422308,13651140,10979006,3761004,3574600,36991923,0,1615321,31,0,24830032.92,1689275.295,26519308.22
29,2022-08-21,407490.17,150215.67,32817.85,10491.26,634811.97,178278.06,173885.08,48915.09,17779.75,280463.72,0,97176412,17559154,7907124,334610,54234927,14744145,18459072,12489387,3118420,53926535,0,1667119,31,0,27200416.45,1914798.17,29115214.62
30,2022-08-28,433479.03,157383.86,37834.72,10135.38,419119.54,238417.91,185864.06,72023.92,11105.02,234710.15,0,107245390,18736979,8764899,301990,45839855,24811870,19031901,18597514,1350625,58093639,0,1662609,31,0,26518313.95,2051026.317,28569340.26
31,2022-09-04,454978.77,173992.97,38703.46,10865.74,54545.41,209434.48,168735.62,70132.03,32641.78,231686.66,0,120302961,19530560,8858852,396679,8272243,17516083,20390752,16661331,9768487,51237809,0,1783525,31,0,26724422.36,2108982.906,28833405.27
32,2022-09-11,435938.34,176243.09,37066.86,9629.29,42275.25,218763.44,232577.85,84020.88,52041.96,261920.76,0,116139068,19427387,8115111,299307,7370990,18893422,27605617,18249664,15507508,61190474,0,2578732,31,0,26904637.07,2124656.969,29029294.04
33,2022-09-18,453042.24,188132.26,36828.49,9274.31,20727.39,241142.53,412709.28,86254.99,79603.87,335671.3,0,121283946,19864800,6891393,314034,3162649,16443448,36428038,18574606,34987148,87413117,0,2199653,33,0,28910347.65,1990509.07,30900856.72
34,2022-09-25,448918.73,170453.99,35006.17,9203.11,44911.1,251882.42,418768.73,48793.66,29355.93,364640.36,0,123248787,18935230,7325431,344592,6606063,21464067,38417291,12723873,5138016,92522907,0,1915623,33,0,27319834.7,2692891.656,30012726.36
35,2022-10-02,441677.36,189078.23,32890.29,8163.79,114004.42,276430.85,437321.57,44017.89,27160.15,367348.01,0,124883302,22622634,6225200,353924,20282308,20765850,40714348,15292136,4830986,89900911,0,1870896,30,0,24457035.4,2171504.555,26628539.95
36,2022-10-09,596462.51,254977.93,49289.3,8165.58,102525.72,283052.35,361526.65,37832.66,36738.29,679492.82,0,157532588,31956380,7134039,356082,16623030,17530003,31500411,9799275,5674648,137973651,0,3319261,32,1,48841596.47,2779736.019,51621332.49
37,2022-10-16,410721.43,157581.03,31071.57,7711.9,82772.19,271463.11,252116.23,12673.85,46254.35,257768.72,0,115362567,23999772,5400941,396918,8570577,17771116,18957725,2774962,4613624,60996294,0,2527866,30,0,24143024.49,2027143.707,26170168.19
38,2022-10-23,449527.33,163789.36,31370.86,8217.53,65099.17,274539.9,233435.73,15323.84,63477.06,274738.44,0,121318737,24757645,5369381,303224,6557463,17657787,20616890,3269908,7621212,63899686,0,1729607,30,0,25027781.32,2240705.052,27268486.37
