week,bing_spend,display_spend,search_spend,dv360_spend,pmax_spend,apple_news_spend,demandgen_spend,fb-ig_spend,twitter_spend,youtube_spend,tiktok_spend,dsp_spend,SB_spend,SD_spend,SPA_spend,fincast_spend,bing_impression,display_impression,search_impression,dv360_impression,pmax_impression,apple_news_impression,demandgen_impression,fb-ig_impression,twitter_impression,youtube_impression,tiktok_impression,dsp_impression,SB_impression,SD_impression,SPA_impression,fincast_impression,promotion,google_search_index,amz_search_without_keywords,amazon_rev,dtc_rev,total_rev
2023-10-01,2381.79,20462.57,25498.54,0,17172.38,0,0,81864.9,40900.73,0,97012.73,181036.75,63280.69,8515.54,298338.97,0,78032,13393427,227479,0,2485398,0,0,11071618,14613908,0,20056526,24759559,2028322,1260877,27561440,0,0,41,1049588,8396991.4,317735.29,8714726.69
2023-10-08,2488.91,18007.21,45408.53,0,17247.68,0,0,169967.77,75333.6,0,139907.17,455576.01,73304.24,25535.88,383228.71,0,114919,12351453,393193,0,2725987,0,0,18712726,36301364,0,31934880,52622106,2560428,3632608,37800392,0,1,51,2091565,17291534.93,397872.47,17689407.4
2023-10-15,1845.72,2179.95,26847.18,0,12498.28,0,0,64108.49,18653.59,0,136344.06,230026.47,54422.86,14404.72,273498.52,0,128655,1781279,242737,0,2306971,0,0,8438785,8186893,0,36420791,26049160,2216704,3358027,30820790,0,0,42,972818,8466715.54,331322.81,8798038.35
2023-10-22,2102.87,2352.01,22295.03,0,9049.04,0,0,44648.06,18145.77,0,99110.97,170617.58,61507.59,9870.2,278558.01,0,148806,2028888,244608,0,1716312,0,0,6139104,5913345,0,21166757,18664820,2244911,3265215,31357500,0,0,45,906343,7761096.575,276362.06,8037458.635
2023-10-29,1980.34,5264.38,24483.89,0,8306.58,0,0,54437.71,17466.67,0,34812.62,142097.84,59821.92,9547.43,276826.05,0,160611,3868896,238510,0,1502833,0,0,7950248,7332753,0,4916094,11042742,2390063,2563105,35156494,0,0,42,858393,8352018.292,271814.87,8623833.162
2023-11-05,2576.17,2443.69,19836.47,0,11746.46,0,0,59077.01,14768.87,0,35890.93,133760.93,53630.4,7833.03,274149.4,0,156745,2055921,163304,0,1948711,0,0,8318539,6955776,0,4374695,9918567,2470092,1604655,35332393,0,0,44,872499,7900321.783,404130.72,8304452.503
2023-11-12,2560.69,2551.5,32117.13,0,20420.66,0,0,88166.48,24792.69,0,85234.25,173236.43,39338.46,4160.75,213787.19,0,151310,1955664,231852,0,3071067,0,0,9209815,15942511,0,9941719,13438015,2193532,668964,29711746,0,1,50,966928,8721309.865,476559.24,9197869.105
2023-11-19,4408.96,1934,62766.5,0,26787.23,0,0,143082.9,81925.21,0,226635.53,355769.84,41535.6,3009.67,206598.38,0,163029,1784514,432740,0,3735678,0,0,10136208,46384519,0,21880147,26881257,2185481,372638,48397421,0,1,80,2103524,18804983.81,791604.57,19596588.38
2023-11-26,6784.06,1844.76,54698.35,0,21972.39,0,0,107400.59,54862.75,0,91115.74,254498.47,32054.56,1868.1,161839.35,0,700896,2199248,364892,0,3050034,0,0,9642032,31909863,0,9624564,26005891,1892219,256267,40135996,0,1,67,1525865,13774181.66,544834.23,14319015.89
2023-12-03,2534.65,1267,38943.69,0,19435.96,0,0,63671.43,32118.74,0,45131.53,109667.01,10143.17,482.87,107792.54,0,235964,2506901,275694,0,2820891,0,0,7372532,17909857,0,6850309,12177843,639201,79186,21805595,0,0,49,986025,10109200.1,336333.92,10445534.02
